country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,9,13,26,44,59,79,123,103,122,149,169
Afghanistan,14,16,38,46,57,74,426,1580,1970,1050,1360
Angola,30,45,80,119,160,227,240,322,345,469,660
Albania,12,24,74,103,151,197,416,1270,1510,2190,2510
Andorra,58,79,92,79,87,158,219,263,400,1560,751
United Arab Emirates,785,1120,2170,2530,3380,5430,8790,12.2k,14.3k,18.7k,13.9k
Argentina,1030,1400,2640,3120,3840,5320,32k,71.7k,83.3k,136k,167k
Armenia,30,54,87,158,182,224,557,799,989,1420,1740
American Samoa,3,1,1,0,24,1,10,55,25,19,12
Antigua and Barbuda,60,73,47,65,72,65,76,85,81,87,122
Australia,30.9k,48.5k,72.5k,81.1k,92.5k,109k,237k,530k,822k,931k,1.02M
Austria,5770,8970,13.6k,15.8k,20k,26.6k,38.9k,65.4k,148k,234k,301k
Azerbaijan,23,45,100,158,219,321,994,2560,3270,3700,3020
Burundi,4,4,4,3,6,8,16,50,67,106,103
Belgium,4380,6600,10.6k,14.1k,18k,23k,34.5k,94.4k,160k,226k,279k
Benin,1,3,9,10,11,24,27,47,84,117,226
Burkina Faso,4,4,10,12,13,27,34,37,50,69,125
Bangladesh,30,73,111,146,202,314,3730,10.4k,18.7k,16.3k,23.1k
Bulgaria,461,745,1840,2340,4590,4880,28.8k,229k,269k,281k,333k
Bahrain,93,140,271,326,386,450,494,537,582,638,667
Bahamas,130,149,193,228,274,375,398,576,909,618,496
Bosnia and Herzegovina,44,66,122,147,215,282,638,5020,6430,8770,10.4k
Belarus,48,86,241,366,579,1020,4170,21.5k,32.4k,54.2k,70.8k
Belize,69,93,331,351,295,412,559,3010,4440,16.5k,52.2k
Bermuda,232,357,433,474,506,528,525,503,521,492,484
Bolivia,58,83,109,150,198,290,418,1230,1480,1990,2450
Brazil,5530,8710,14.1k,17.5k,22.8k,32.5k,84.5k,329k,427k,578k,656k
Barbados,53,70,83,109,136,164,184,220,249,270,298
Brunei,16,23,49,61,99,238,257,688,853,4650,6890
Bhutan,1,2,8,7,13,14,27,88,134,365,527
Botswana,9,12,20,22,40,75,110,151,301,486,620
Central African Republic,,,,0,1,1,1,2,3,5,6
Canada,43.6k,56.4k,74.5k,82.9k,95.6k,121k,369k,971k,1.15M,1.35M,1.52M
Switzerland,11.3k,19.3k,27.9k,32k,40.1k,57.5k,144k,279k,580k,821k,1.04M
Chile,790,1110,1790,2240,2930,4030,22.5k,134k,151k,209k,247k
China,1600,2630,5100,7000,13.3k,27k,66.1k,290k,622k,1.03M,1.34M
Cote d'Ivoire,11,14,39,54,78,117,144,212,292,1150,1490
Cameroon,7,9,19,28,41,52,67,210,137,392,444
"Congo, Dem. Rep.",4,5,12,11,26,39,50,208,237,263,345
"Congo, Rep.",0,1,8,9,15,18,23,24,32,33,46
Colombia,475,680,1400,1920,2570,3390,15.4k,22.6k,32.3k,39.3k,20.6k
Comoros,0,1,0,1,3,1,47,4,6,6,8
Cape Verde,12,14,31,32,39,39,60,140,271,302,99
Costa Rica,474,639,767,1290,1460,1520,2400,5750,6030,6610,6720
Cuba,1,0,0,,1,1,32,96,182,401,775
Cayman Islands,95,170,232,225,264,307,327,384,740,1100,2000
Cyprus,307,457,1710,1120,2800,2760,5330,20.5k,7580,9850,30.2k
Czech Republic,3200,4930,8770,11.4k,14.9k,21.6k,127k,269k,450k,600k,723k
Germany,85.8k,118k,177k,210k,272k,351k,957k,2.83M,4.68M,6.48M,8.11M
Djibouti,4,6,1,4,8,10,11,21,36,44,49
Dominica,3,5,14,12,16,19,382,498,475,705,3380
Denmark,8810,13.2k,17.1k,19.4k,24.5k,34.1k,138k,252k,714k,1.61M,1.62M
Dominican Republic,115,135,239,270,348,477,970,1030,1290,1220,1380
Algeria,13,18,46,68,94,152,309,2620,2860,2150,2110
Ecuador,159,211,371,482,665,1320,1990,3520,4540,5450,6710
Egypt,205,252,437,563,725,975,1390,3490,3460,3550,4500
Eritrea,1,1,0,0,,0,0,0,1,3,3
Spain,9640,12.4k,18.9k,22.8k,29.1k,41.3k,128k,338k,529k,834k,1.02M
Estonia,713,970,1660,2130,2890,4110,14.2k,38.4k,64.6k,111k,112k
Ethiopia,3,4,24,28,36,33,42,76,160,165,654
Finland,5460,8520,11.9k,13.7k,16.4k,18.6k,39.2k,123k,188k,319k,451k
Fiji,13,21,41,43,64,79,99,131,153,187,238
France,18.1k,26.2k,40.9k,54.2k,78.8k,126k,446k,992k,1.37M,1.97M,2.44M
Faeroe Islands,83,108,150,166,174,177,178,190,225,243,294
"Micronesia, Fed. Sts.",3,8,12,11,13,15,17,18,21,24,21
Gabon,4,31,14,22,23,32,45,58,56,55,98
Isle of Man,5,21,44,68,89,132,283,380,694,834,1110
United Kingdom,82.6k,115k,159k,182k,210k,286k,571k,1.4M,1.81M,2.41M,2.45M
Georgia,36,56,163,237,309,442,1520,8800,8130,10.3k,13k
Ghana,22,33,70,113,148,200,2760,2740,649,1370,1850
Gibraltar,161,177,266,269,343,387,470,620,555,546,757
Guinea,1,1,4,4,6,9,11,19,41,63,89
Gambia,8,4,6,8,16,17,19,106,56,52,70
Guinea-Bissau,,,,,1,3,3,5,4,7,6
Equatorial Guinea,0,1,0,1,3,4,7,0,13,27,47
Greece,711,1030,1790,2330,3030,4440,15.2k,39.7k,54k,71.3k,95.3k
Grenada,10,8,17,19,20,24,31,26,36,56,65
Greenland,53,63,101,114,131,157,166,142,172,180,232
Guatemala,106,153,221,273,360,463,600,1160,1290,1560,1800
Guam,26,29,37,48,51,115,106,120,142,167,176
Guyana,1,4,5,7,11,21,24,25,37,49,48
"Hong Kong, China",3140,4520,7140,8340,11.2k,17k,28.4k,77.5k,145k,455k,528k
Honduras,50,70,93,117,144,185,281,750,717,910,985
Croatia,506,739,1340,1690,2120,2670,7200,60.3k,79.9k,92.5k,90.5k
Haiti,2,4,11,14,25,41,49,50,59,60,87
Hungary,1680,2170,3900,5100,6590,9120,40.5k,133k,188k,256k,320k
Indonesia,396,595,1320,1970,3010,4570,80.1k,339k,343k,456k,514k
India,2060,2840,5700,7880,10.9k,15.3k,50.7k,165k,254k,532k,662k
Ireland,4380,6910,11.3k,12.2k,13.1k,15k,55.8k,186k,339k,471k,577k
Iran,92,127,179,238,404,963,5100,18.2k,40.5k,85.8k,203k
Iraq,1,8,18,30,53,87,152,391,435,475,719
Iceland,742,1040,1470,1790,2150,2520,12k,19.8k,22.8k,25.6k,27.7k
